Date,oil_production
4/11/14,8301
4/4/14,8229
3/28/14,8192
3/21/14,8190
3/14/14,8215
3/7/14,8182
2/28/14,8077
2/21/14,8059
2/14/14,8148
2/7/14,8132
1/31/14,8044
1/24/14,8044
1/17/14,8052
1/10/14,8159
1/3/14,8145
12/27/13,8121
12/20/13,8111
12/13/13,8058
12/6/13,8075
11/29/13,8011
11/22/13,8019
11/15/13,7974
11/8/13,7981
11/1/13,7858
10/25/13,7853
10/18/13,7896
10/11/13,7428
10/4/13,7809
9/27/13,7784
9/20/13,7777
9/13/13,7827
9/6/13,7745
8/30/13,7621
8/23/13,7609
8/16/13,7518
8/9/13,7571
8/2/13,7560
7/26/13,7542
7/19/13,7555
7/12/13,7490
7/5/13,7401
6/28/13,7267
6/21/13,7261
6/14/13,7129
6/7/13,7224
5/31/13,7300
5/24/13,7292
5/17/13,7258
5/10/13,7321
5/3/13,7369
4/26/13,7312
4/19/13,7326
4/12/13,7208
4/5/13,7181
3/29/13,7151
3/22/13,7151
3/15/13,7150
3/8/13,7159
3/1/13,7093
2/22/13,7096
2/15/13,7118
2/8/13,7064
2/1/13,6997
1/25/13,6993
1/18/13,6989
1/11/13,7041
1/4/13,7002
12/28/12,6985
12/21/12,6984
12/14/12,6863
12/7/12,6852
11/30/12,6817
11/23/12,6818
11/16/12,6710
11/9/12,6709
11/2/12,6677
10/26/12,6669
10/19/12,6610
10/12/12,6606
10/5/12,6598
9/28/12,6520
9/21/12,6509
9/14/12,6277
9/7/12,5526
8/31/12,5486
8/24/12,6258
8/17/12,6246
8/10/12,6181
8/3/12,6218
7/27/12,6320
7/20/12,6364
7/13/12,6245
7/6/12,6249
6/29/12,6094
6/22/12,6257
6/15/12,6353
6/8/12,6236
6/1/12,6245
5/25/12,6227
5/18/12,6239
5/11/12,6149
5/4/12,6136
4/27/12,6121
4/20/12,6113
4/13/12,6043
4/6/12,6040
3/30/12,6049
3/23/12,5821
3/16/12,5826
3/9/12,5830
3/2/12,5806
2/24/12,5814
2/17/12,5817
2/10/12,5819
2/3/12,5763
1/27/12,5720
1/20/12,5722
1/13/12,5726
1/6/12,5844
12/30/11,5851
12/23/11,5846
12/16/11,5862
12/9/11,5862
12/2/11,5861
11/25/11,5864
